Date	Time	Open	High	Low	Close	Volume
09/01/2022	03:00:00	3137.21	3145.57	3127.18	3141.64	1368.5715
09/01/2022	03:30:00	3141.7	3142.52	3118.4	3120.83	1567.3826
09/01/2022	04:00:00	3120.82	3136.78	3116.62	3129.55	1276.581
09/01/2022	04:30:00	3129.24	3142.9	3127.88	3141.04	1454.9997
09/01/2022	05:00:00	3141.04	3146.57	3127.27	3132.75	2017.4129
09/01/2022	05:30:00	3132.92	3137.4	3119.05	3123.09	1543.8981
09/01/2022	06:00:00	3123.08	3133.41	3119.13	3130.83	1608.3967
09/01/2022	06:30:00	3130.75	3140.79	3126.71	3138.23	1669.6401
09/01/2022	07:00:00	3138.29	3140.56	3130.02	3132.73	1277.5363
09/01/2022	07:30:00	3132.83	3134.65	3122.7	3128.06	1222.4318
09/01/2022	08:00:00	3128.1	3139.46	3107.33	3108.08	2719.2489
09/01/2022	08:30:00	3108.21	3119.09	3104.37	3108.04	1352.4504
09/01/2022	09:00:00	3108.04	3117.04	3093.84	3100.83	2281.2812
09/01/2022	09:30:00	3100.83	3114.13	3094.0	3097.03	1533.1451
09/01/2022	10:00:00	3096.97	3103.72	3084.4	3095.53	1922.9535
09/01/2022	10:30:00	3095.81	3111.0	3092.91	3106.98	1173.9909
09/01/2022	11:00:00	3106.98	3133.3	3106.68	3121.44	1812.0749
09/01/2022	11:30:00	3121.44	3129.69	3117.9	3128.7	1102.1491
09/01/2022	12:00:00	3128.7	3134.9	3105.13	3111.46	1611.3249
09/01/2022	12:30:00	3111.37	3121.0	3106.42	3109.72	970.1282
09/01/2022	13:00:00	3109.72	3129.4	3102.0	3102.18	1706.0447
09/01/2022	13:30:00	3102.19	3109.6	3086.57	3086.58	2487.7116
09/01/2022	14:00:00	3086.59	3103.37	3086.5	3091.18	1317.3804
09/01/2022	14:30:00	3091.5	3115.33	3089.02	3097.95	1638.7026
09/01/2022	15:00:00	3097.94	3100.89	3074.14	3092.11	2512.5472
09/01/2022	15:30:00	3092.1	3103.96	3082.36	3097.78	1299.3347
09/01/2022	16:00:00	3097.77	3110.8	3092.2	3109.13	1142.4133
09/01/2022	16:30:00	3108.99	3160.0	3108.99	3159.43	5223.704
09/01/2022	17:00:00	3159.44	3172.4	3148.12	3165.32	4683.2218
09/01/2022	17:30:00	3165.24	3176.57	3153.0	3166.27	2433.4056
09/01/2022	18:00:00	3166.73	3179.0	3165.05	3177.02	2480.7835
09/01/2022	18:30:00	3176.57	3179.38	3165.01	3169.54	1581.4008
09/01/2022	19:00:00	3169.49	3207.2	3163.88	3202.99	2888.8872
09/01/2022	19:30:00	3202.99	3208.6	3191.2	3204.07	2983.6708
